nid,nid_old,heading,changed_from
626,626|630,Clergy--Office,
625,625,Clergy--Office--Sermons,
627,627,Clergy--Pennsylvania--Philadelphia,
628,628,Clergy--Poetry,
629,629,"Clergy--Salaries, etc",
633,633,Clinical chemistry--Early works to 1800,
634,634,Clinical medicine,
635,635,"Clinton, Henry, Sir, 1738?-1795",
637,637|638,Clocks and watches,
636,636,Clocks and watches--Early works to 1800,
639,639,Clover,
640,640,Cnidaria,
641,641,"Coal, Early works to 1800",
642,642,"Coal-tar products, Early works to 1800",
644,644,Coast defenses,
643,643,Coast defenses--United States,
645,645,Cod fisheries--Massachusetts,
646,646,Coffee--Early works to 1800,
647,647,Coffee--History,
654,654,Coinage,
648,648,Coinage--Europe,
649,649,Coinage--France,
651,651|652|653,Coinage--United States,
650,650,Coinage--United States--Statistics,
658,658,Coins,
657,657,"Coins, Foreign",
655,655|656,"Coins, Foreign--United States",
659,659,Cold--Therapeutic use,
660,660,Collected works,
663,663|664,"College, Academy, and Charitable Schools of Philadelphia",
661,661,"College of New Jersey (Princeton, N.J.)",
662,662,"College of New Jersey (Princeton, N.J.)--Fire, 1802",
665,665,"Collier, William, 1771-1843",
667,667|668,Colonies--Administration,
666,666,Colonies--Administration--Histoire Voir les notices liées en tant que sujet,
669,669,Colonisation--Amérique,
670,670,Color,
671,671,Combustion,
677,677,Comets,
672,672,Comets--1786,
673,673,Comets--1807,
674,674,Comets--1811,
675,675,Comets--1812,
676,676,Comets--Early works to 1800,
679,679|680,Commerce,
678,678,Commerce--Early works to 1800,
682,682,Commercial courts,
681,681,Commercial courts--France--Early works to 1800,
683,683,Commercial policy,
684,684,Compass,
685,685,Conception,
687,687,Concord,
686,686,"Concord, Battle of, Concord, Mass., 1775",
688,688,Concordat of 1753--Spain,
692,692,Conduct of life,
689,689,Conduct of life--Early works to 1800,
690,690,Conduct of life--Juvenile poetry,
691,691,Conduct of life--Sermons,
694,694|695,Susquehannock,Conestoga Indians
693,693,Susquehannock--Pennsylvania--Early works to 1800,Conestoga Indians--Pennsylvania--Early works to 1800
696,696,"Conestoga Massacre, Pa., 1763",
7817,7817,Confession--Catholic Church,
698,698,Congregational churches,
697,697,Congregational churches--Sermons,
700,700,Connecticut--Boundaries,
699,699,Connecticut--Boundaries--Massachusetts,
701,701,"Connecticut--History--Revolution, 1775-1783",
702,702,Connecticut--Politics and government--1775-1783,
703,703,Connecticut--Politics and government--To 1775,
705,705,Conscientious objectors,
704,704,Conscientious objectors--Pennsylvania,
707,707,Consecration of bishops,
706,706,Consecration of bishops--Episcopal Church,
708,708,Conspiracy--New York (State)--New York,
713,713|714,Constitutional history,
709,709,Constitutional history--Great Britain--Sermons,
712,712,Constitutional history--United States,
711,711,Constitutional history--United States--Sources,
710,710,Constitutional history--United States--Sources--Early works to 1800,
715,715,Constitutional law--New York (State),
717,717,"Constitutions, State",
716,716,Constitutions--United States--Early works to 1800,
718,718,Contraband of war,
719,719,Conversion,
720,720,Copyright infringement--United States,
721,721,Corn industry--Great Britain,
722,722,"Cornwallis, Charles Cornwallis, Marquis, 1738-1805",
723,723,Corporal punishment,
724,724,"Corporation for the Relief of the Widows and Children of Clergymen, in the Communion of the Church of England in America",
725,725,Corrupt practices,
726,726,Corsica (France)--Description and travel,
727,727,Costume--United States,
729,729,Cottage industries,
728,728,Cottage industries--England--Early works to 1800,
730,730,Counterfeits and counterfeiting--Great Britain,
735,735,Courtship,
733,733,Courts-martial and courts of inquiry--Early works to 1800,
734,734,Courts-martial and courts of inquiry--Great Britain--Early works to 1800,
731,731,Courts--New Jersey,
732,732,Courts--Pennsylvania--York County,
736,736,"Covadonga, Our Lady of",
739,739,Crime,
738,738,Crime--Massachusetts,
737,737,Crime--Massachusetts--Boston,
741,741,Criminal law,
740,740,Criminal law--United States,
742,742,Criminal procedure--United States,
743,743,Criticism,
745,745|746|747,Crop rotation,
744,744,Crop rotation--Early works to 1800,
748,748,Croup,
88,88,"Crystallography, Early works to 1800",
749,749,Ctenophora,
750,750,"Cupers, Marcellin, 1713-1775",
751,751,Currency question--United States,
752,752,Customary law--France--Perche,
753,753,Customs administration--Ireland--Early works to 1800,
754,754,Customs administration--South Carolina,
755,755,Dams,
756,756,"Davies, Samuel, 1723-1761",
757,757,"Davila, Arrigo Caterino, 1576-1631. Historia delle guerre civili di Francia",
760,760|761,Deaf people--Education--Pennsylvania--Philadelphia,Deaf--Education--Pennsylvania--Philadelphia
762,762,"Deane, Silas, 1737-1789",
763,763,Death--Poetry,
764,764,Debates and debating--England--Religious aspects--Christianity--Early works to 1800,
765,765,Debtor and creditor--New Jersey,
766,766,Debtor and creditor--Pennsylvania,
768,768,"Debts, External--United States",
776,776|777,"Debts, Public",
769,769,"Debts, Public--England",
767,767|770,"Debts, Public--France--Early works to 1800",
771,771|772,"Debts, Public--Great Britain",
774,774,"Debts, Public--Law and legislation",
773,773,"Debts, Public--Law and legislation--United States",
775,775,"Debts, Public--United States",
779,779,Decedents' estates,
778,778,Decedents' estates--New York (State)--New York,
780,780,Decedents’ estates--New Jersey,
781,781,Dedication sermons--1787,
758,758,"De Lancey, James, 1703-1760",
759,759,"De Lancey, James, 1703-1760. Charge of the Honourable James De Lancey Esq. ..",
784,784,"Delaware and Schuylkill Canal Company (Philadelphia, PA)",
785,785,Delaware Bay (Del. and N.J.),
782,782,Delaware--History,
787,787,Lenape,Delaware Indians
786,786,Lenape--Treaties,Delaware Indians--Treaties
783,783,Delaware--Politics and government--1775-1865,
788,788,Delaware River (N.Y.-Del. and N.J.),
789,789,Deluge,
790,790,Denunciations (French Revolution),
791,791,DERECHO CANONICO,
793,793,Devotional exercises,
792,792,Devotional exercises--Early works to 1800,
794,794,Diamond Necklace Affair--France--1785,
795,795,"Diamonds, Early works to 1800",
796,796,"Dick, Alexander, Sir, 1703-1785--Biography",
